base	base_tr	variation	type	variant1	variant2	resp1	resp2	log_odds	derivational	nsyl	vowel	suffix	carrier_sentence	target_sentence
trilekszik / trilekedik	trilekßik / trilekedik	cselekszenek/cselekednek	nonce word response	trilekszetek	trilekedtek	14	12	0.14310084364067324	-szik	2	NA	tek	János imád trilekedni, ezért sokat trilekszik.	Ti ritkán...
trilszik	trilßik	lakok/lakom	nonce word response	trilszok	trilszom	15	11	0.28768207245178085	-szik	1	NA	NA	Te bizony sokat trilszol.	Én is sokat...
trincseg	trinçeg	hotelban/hotelben	nonce word response	trincsegban	trincsegben	3	23	-1.791759469228055	NA	NA	e	ban	Ez itt egy trincseg.	Ott vagyunk a...
trírzik / trírozik	trírzik / trírozik	cselekszenek/cselekednek	nonce word response	trírzunk	trírozunk	14	15	-0.06453852113757118	-zik	1	NA	ünk	János imád trírozni, ezért sokat trírzik.	Mi ritkán...
trismél	trismél	hotelban/hotelben	nonce word response	trismélnak	trismélnek	3	23	-1.791759469228055	NA	NA	é	nak	Ez itt egy trismél.	Elneveztem a kutyámat...
trivakszik / trivakodik	trivakßik / trivakodik	cselekszenek/cselekednek	nonce word response	trivakszunk	trivakodunk	13	13	0	-szik	2	NA	ünk	János imád trivakodni, ezért sokat trivakszik.	Mi ritkán...
trodély	trodé¬	hotelban/hotelben	nonce word response	trodélyban	trodélyben	22	5	1.3437347467010947	NA	NA	é	ban	Ez itt egy trodély.	Ott vagyunk a...
trugoklik / trugokozik	trugoklik / trugokozik	cselekszenek/cselekednek	nonce word response	trugoklanak	trugokoznak	14	12	0.14310084364067324	-lik	2	NA	nek	János imád trugokozni, ezért sokat trugoklik.	Ők ritkán...
trugzik / trugozik	trugzik / trugozik	cselekszenek/cselekednek	nonce word response	trugzanak	trugoznak	11	18	-0.4595323293784402	-zik	1	NA	nek	János imád trugozni, ezért sokat trugzik.	Ők ritkán...
trukszik / trukodik	trukßik / trukodik	cselekszenek/cselekednek	nonce word response	trukszotok	trukodtok	14	13	0.06899287148695142	-szik	1	NA	tek	János imád trukodni, ezért sokat trukszik.	Ti ritkán...
trűnylik / trűnyözik	trű¥lik / trű¥özik	cselekszenek/cselekednek	nonce word response	trűnylenek	trűnyöznek	13	13	0	-lik	1	NA	nek	János imád trűnyözni, ezért sokat trűnylik.	Ők ritkán...
tuboklik	tuboklik	lakok/lakom	nonce word response	tuboklok	tuboklom	16	10	0.4353180712578455	-lik	2	NA	NA	Te bizony sokat tuboklasz.	Én is sokat...
tűgzik / tűgözik	tűgzik / tűgözik	cselekszenek/cselekednek	nonce word response	tűgzötök	tűgöztök	14	12	0.14310084364067324	-zik	1	NA	tek	János imád tűgözni, ezért sokat tűgzik.	Ti ritkán...
tumély	tumé¬	hotelban/hotelben	nonce word response	tumélynál	tumélynél	10	19	-0.5978370007556204	NA	NA	é	nál	Ez itt egy tumély.	Nincs is jobb egy jó...
vanylik	va¥lik	lakok/lakom	nonce word response	vanylok	vanylom	21	6	1.1451323043030026	-lik	1	NA	NA	Te bizony sokat vanylasz.	Én is sokat...
vehékszik / vehékedik	vehékßik / vehékedik	cselekszenek/cselekednek	nonce word response	vehékszünk	vehékedünk	18	8	0.7472144018302211	-szik	2	NA	ünk	János imád vehékedni, ezért sokat vehékszik.	Mi ritkán...
vihapszik / vihapodik	vihapßik / vihapodik	cselekszenek/cselekednek	nonce word response	vihapszunk	vihapodunk	17	10	0.49247648509779424	-szik	2	NA	ünk	János imád vihapodni, ezért sokat vihapszik.	Mi ritkán...
vihepszik	vihepßik	lakok/lakom	nonce word response	vihepszek	vihepszem	8	18	-0.7472144018302211	-szik	2	NA	NA	Te bizony sokat vihepszel.	Én is sokat...
vilakszik	vilakßik	lakok/lakom	nonce word response	vilakszok	vilakszom	8	19	-0.7985076962177716	-szik	2	NA	NA	Te bizony sokat vilakszol.	Én is sokat...
vileslik / vilesezik	vileslik / vilesezik	cselekszenek/cselekednek	nonce word response	vileslünk	vilesezünk	13	13	0	-lik	2	NA	ünk	János imád vilesezni, ezért sokat vileslik.	Mi ritkán...
virzik / virozik	virzik / virozik	cselekszenek/cselekednek	nonce word response	virzanak	viroznak	13	13	0	-zik	1	NA	nek	János imád virozni, ezért sokat virzik.	Ők ritkán...
vismer	vismer	hotelban/hotelben	nonce word response	vismernál	vismernél	0	27	-3.332204510175204	NA	NA	e	nál	Ez itt egy vismer.	Nincs is jobb egy jó...
vobzik / vobozik	vobzik / vobozik	cselekszenek/cselekednek	nonce word response	vobzotok	voboztok	11	15	-0.2876820724517809	-zik	1	NA	tek	János imád vobozni, ezért sokat vobzik.	Ti ritkán...
vodec	vodec	hotelban/hotelben	nonce word response	vodecnál	vodecnél	6	20	-1.0986122886681098	NA	NA	e	nál	Ez itt egy vodec.	Nincs is jobb egy jó...
vodép	vodép	hotelban/hotelben	nonce word response	vodépnak	vodépnek	8	19	-0.7985076962177716	NA	NA	é	nak	Ez itt egy vodép.	Elneveztem a kutyámat...
vorszen	vorßen	hotelban/hotelben	nonce word response	vorszennál	vorszennél	4	25	-1.6486586255873816	NA	NA	e	nál	Ez itt egy vorszen.	Nincs is jobb egy jó...
vublet	vublet	hotelban/hotelben	nonce word response	vubletnál	vubletnél	6	20	-1.0986122886681098	NA	NA	e	nál	Ez itt egy vublet.	Nincs is jobb egy jó...
vűjlik	vűjlik	lakok/lakom	nonce word response	vűjlök	vűjlöm	20	6	1.0986122886681098	-lik	1	NA	NA	Te bizony sokat vűjlesz.	Én is sokat...
vülődzik	vülődzik	lakok/lakom	nonce word response	vülődzök	vülődzöm	14	13	0.06899287148695142	-zik	2	NA	NA	Te bizony sokat vülődzöl.	Én is sokat...
vurnel	vurnel	hotelban/hotelben	nonce word response	vurnelnak	vurnelnek	5	21	-1.2992829841302609	NA	NA	e	nak	Ez itt egy vurnel.	Elneveztem a kutyámat...
zábény	zábé¥	hotelban/hotelben	nonce word response	zábénynak	zábénynek	8	18	-0.7472144018302211	NA	NA	é	nak	Ez itt egy zábény.	Elneveztem a kutyámat...
zarcég	zarcég	hotelban/hotelben	nonce word response	zarcégnál	zarcégnél	7	22	-1.0560526742493137	NA	NA	é	nál	Ez itt egy zarcég.	Nincs is jobb egy jó...
zatéj	zatéj	hotelban/hotelben	nonce word response	zatéjnál	zatéjnél	12	14	-0.1431008436406733	NA	NA	é	nál	Ez itt egy zatéj.	Nincs is jobb egy jó...
zihenc	zihenc	hotelban/hotelben	nonce word response	zihencnak	zihencnek	1	28	-2.6741486494265287	NA	NA	e	nak	Ez itt egy zihenc.	Elneveztem a kutyámat...
zined	zined	hotelban/hotelben	nonce word response	zinednak	zinednek	1	25	-2.5649493574615367	NA	NA	e	nak	Ez itt egy zined.	Elneveztem a kutyámat...
zödlik	zödlik	lakok/lakom	nonce word response	zödlök	zödlöm	18	8	0.7472144018302211	-lik	1	NA	NA	Te bizony sokat zödlesz.	Én is sokat...
zopély	zopé¬	hotelban/hotelben	nonce word response	zopélynál	zopélynél	16	11	0.3483066942682158	NA	NA	é	nál	Ez itt egy zopély.	Nincs is jobb egy jó...
zsáder	Ωáder	hotelban/hotelben	nonce word response	zsáderban	zsáderben	11	15	-0.2876820724517809	NA	NA	e	ban	Ez itt egy zsáder.	Ott vagyunk a...
zsádév	Ωádév	hotelban/hotelben	nonce word response	zsádévnak	zsádévnek	14	12	0.14310084364067324	NA	NA	é	nak	Ez itt egy zsádév.	Elneveztem a kutyámat...
zsalrén	Ωalrén	hotelban/hotelben	nonce word response	zsalrénnak	zsalrénnek	13	14	-0.06899287148695143	NA	NA	é	nak	Ez itt egy zsalrén.	Elneveztem a kutyámat...
zsigén	Ωigén	hotelban/hotelben	nonce word response	zsigénnál	zsigénnél	3	26	-1.9095425048844386	NA	NA	é	nál	Ez itt egy zsigén.	Nincs is jobb egy jó...
zsopéd	Ωopéd	hotelban/hotelben	nonce word response	zsopédban	zsopédben	20	7	0.965080896043587	NA	NA	é	ban	Ez itt egy zsopéd.	Ott vagyunk a...
zsúdel	Ωúdel	hotelban/hotelben	nonce word response	zsúdelnak	zsúdelnek	6	21	-1.1451323043030026	NA	NA	e	nak	Ez itt egy zsúdel.	Elneveztem a kutyámat...
zuten	zuten	hotelban/hotelben	nonce word response	zutennál	zutennél	6	23	-1.2321436812926323	NA	NA	e	nál	Ez itt egy zuten.	Nincs is jobb egy jó...
